"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","REC GRD","KEY","REC SNP","VS PRS","TGT","REC","REC YDS","YPR","REC TD","REC 1D","DP","FUM","FUML","CBL","CTT","CTC","YAC","YAC/REC","YPRR"
"","47034","52502","195781","7874d188-0fcd-4af9-9289-27c27e2bbd16","Josiah Deguara","Cardinals","45","TE","53.5","1","59","9","4","3","21","7.0","1","2","0","0","0","3","1","0","5","1.7","0.36"
"","47043","47920","177413","9c3a67fd-5c6e-4689-9e08-9ff6d4db6c9a","Foster Moreau","Saints","87","TE","55.5","9","72","19","10","7","59","8.4","0","2","1","0","0","8","0","0","42","6.0","0.82"
"","47083","47852","172804","dc83f7af-7b30-4c4a-9c93-f67bd8db954b","Josh Oliver","Vikings","84","TE","72.9","19","129","30","19","16","160","10.0","4","9","0","0","0","17","2","1","105","6.6","1.24"
"","47124","46226","174199","f0d17dfa-ebf3-416c-a8d2-c6bc30675103","Tyler Conklin","Chargers","83","TE","44.7","10","91","29","12","8","108","13.5","0","3","2","1","0","11","2","0","62","7.8","1.19"
"","47153","46111","159831","1012cbe0-7eba-4169-bfca-183a0204e1a7","Mike Gesicki","Bengals","88","TE","71.7","35","267","99","47","30","322","10.7","2","19","0","0","0","32","12","6","72","2.4","1.21"
"","47257","46192","110525","7e42a22a-c47b-4387-aeeb-2cc2e76dc1d8","Durham Smythe","Bears","81","TE","38.4","5","97","12","9","6","36","6.0","0","1","1","0","0","7","2","0","15","2.5","0.37"
"","47259","47835","167371","15a4f552-ecaf-45bd-9006-aa5dda93bee6","Drew Sample","Bengals","89","TE","45.9","17","236","48","17","15","106","7.1","1","5","0","0","0","16","2","1","106","7.1","0.45"
"","47272","46118","159389","e8029983-87cf-49a2-bc04-04c8233a0630","Dallas Goedert","Eagles","88","TE","69.1","81","494","191","89","66","652","9.9","12","36","3","0","0","72","9","0","274","4.2","1.32"
"","47304","46206","174531","8caec1b4-e0b6-4a84-b8c8-617d6e91ef6a","Dalton Schultz","Texans","86","TE","76.5","88","577","164","115","91","878","9.7","3","41","2","1","0","96","11","3","414","4.5","1.52"
"","47436","46155","164143","0618f387-9b72-4270-8b8f-dec4cccc9e4a","Mark Andrews","Ravens","89","TE","61.6","56","371","136","72","52","455","8.8","5","24","3","1","0","56","13","7","113","2.2","1.23"
"","51837","45355","117283","b0719e3d-199b-46e5-a2b4-1091f6fd5c0d","Anthony Firkser","Lions","86","TE","56.3","7","107","36","9","8","53","6.6","0","4","0","0","0","8","2","2","14","1.8","0.50"
"","52266","52541","278296","1ea7affb-e5e7-491a-aaa3-55e200b2eb48","Colby Parkinson","Rams","84","TE","77.2","64","326","92","74","52","562","10.8","9","31","7","2","1","59","11","4","373","7.2","1.72"
"","52286","55233","300655","5d01b190-d51e-11ec-8f44-c7121c9cec59","Tucker Fisk","Chargers","42","TE","42","7","64","9","6","5","31","6.2","0","1","1","0","0","6","1","0","27","5.4","0.48"
"","53746","57572","310346","eb055af0-0e1a-11ef-aa6c-9183e6948e0f","Brenden Bates","Browns","82","TE","64.6","4","31","3","5","4","48","12.0","0","3","1","0","0","5","2","1","9","2.3","1.55"
"","54037","56012","305721","601467c7-b593-472d-a147-b8e7bfdbe990","Josh Whyle","Packers","81","TE","54.3","9","93","24","7","6","43","7.2","1","2","0","0","0","6","0","0","26","4.3","0.46"
"","57301","54673","281849","62e96d7c-e4dd-4a90-8c3a-8017eb69120d","Connor Heyward","Steelers","83","TE","61.1","5","21","6","4","3","21","7.0","1","1","0","0","0","3","1","1","6","2.0","1.00"
"","60492","55061","284533","6ee105f0-ca2e-11ec-be96-e90abdfa0fef","Stone Smartt","Jets","84","TE","60.3","7","56","15","9","7","52","7.4","0","3","0","0","0","8","5","3","26","3.7","0.93"
"","60509","54538","304482","321af8f8-b4de-4ed2-a86f-7f97a85a13d4","Jelani Woods","Jets","86","TE","49.7","1","20","6","2","1","4","4.0","0","0","0","0","0","1","1","0","2","2.0","0.20"
"","60853","53219","281178","57df4c36-e48c-45a4-a1ae-f6e86bf5d21e","Sal Cannella","Browns","87","TE","51.8","3","21","6","5","2","11","5.5","0","1","1","0","0","3","1","0","5","2.5","0.52"
"","60859","53510","304769","ebc576d0-a98b-4f82-aaf9-901a3911487d","Hunter Long","Jaguars","84","TE","52.2","19","136","42","16","13","109","8.4","2","5","3","1","0","16","1","1","36","2.8","0.80"
