"","down","ydstogo","yardline_100","touchdown"
"1185",1,10,50,0
"1186",2,11,51,0
"1187",NA,0,NA,NA
"1188",NA,0,NA,NA
"1189",NA,0,35,0
"1190",1,10,76,0
"1191",2,6,72,0
"1192",3,6,72,0
"1193",4,6,72,0
"1194",1,10,68,0
"1195",2,4,62,0
"1196",1,10,29,0
"1197",2,1,20,0
"1198",1,10,12,0
"1199",2,7,9,0
"1200",3,8,10,0
"1201",3,3,5,1
"1202",NA,0,7,0
"1203",NA,0,35,0
"1204",1,10,65,0
"1205",1,10,54,0
"1206",2,9,53,0
"1207",1,10,43,0
"1208",1,15,48,0
"1209",2,9,42,0
"1210",NA,0,NA,0
"1211",3,9,42,0
"1212",4,9,42,0
"1213",1,10,98,0
"1214",2,10,98,0
"1215",3,2,90,0
