"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","REC GRD","KEY","REC SNP","VS PRS","TGT","REC","REC YDS","YPR","REC TD","REC 1D","DP","FUM","FUML","CBL","CTT","CTC","YAC","YAC/REC","ADOT"
"","12307","45721","115306","8106a0d3-1cc9-4038-8c1b-9c7886a6bcba","Dan Skipper","Lions","70","T","34.2","1","4","1","1","0","0","0.0","0","0","1","0","0","1","0","0","0","0.0","-3.0"
"","12329","45719","55557","42b57148-fc06-4aee-b40b-bb941271b5b7","Dare Ogunbowale","Texans","33","HB","46.3","10","68","5","13","10","76","7.6","0","3","1","1","1","11","3","1","57","5.7","1.7"
"","13756","52858","195189","689de342-1d99-4a4d-976d-f6573ef3a8c2","Giovanni Ricci","Lions","88","TE","49.4","0","9","3","1","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","3.0"
"","20994","46331","130765","70473218-5ae3-47b4-86fd-151e68f1e8b9","Ross Dwelley","Lions","82","TE","46.2","3","36","7","4","2","7","3.5","0","0","0","0","0","2","2","0","7","3.5","1.8"
"","22777","54931","278802","4f2ecf70-d3b2-11ec-96a0-c3471a31202c","Tanner Conner","Dolphins","80","TE","46.3","12","120","30","15","9","91","10.1","0","3","2","0","0","12","2","1","37","4.1","8.4"
"","25276","54723","282907","02c808d8-6074-43db-b0d9-f69fab78f6d9","Samori Toure","Saints","89","WR","66.5","2","8","6","3","1","3","3.0","0","0","0","0","0","1","0","0","0","0.0","12.3"
"","25578","47954","194755","82ed30a5-54a8-4ed0-b040-99c3a78fb055","Darius Slayton","Giants","18","WR","59.3","65","465","235","68","41","681","16.6","1","23","6","1","1","48","12","4","272","6.6","14.9"
"","26104","46992","175076","6f124753-5c6c-454b-97c7-0f9b4d14e7c2","KhaDarel Hodge","Falcons","04","WR","55.8","6","41","20","10","3","31","10.3","0","2","1","0","0","5","2","0","9","3.0","15.0"
"","26394","52523","194657","f58a5899-8b78-46e8-a29a-ba6273b7d872","Harrison Bryant","Texans","88","TE","40.4","5","70","22","10","6","31","5.2","0","2","0","0","0","6","1","0","11","1.8","7.2"
"","27126","47911","194843","33b0227d-4c21-4e71-b4cd-be35f7db9123","Tony Pollard","Titans","20","HB","51.8","28","320","7","43","37","229","6.2","0","11","3","1","1","40","2","2","249","6.7","-0.4"
